Ticker,Date,Open,High,Low,Close,Adj Close,Volume
LIN,2026-01-05,425.61,433.99,424.07,433.1,433.1,2617800
LIN,2026-01-06,434.07,439.0,433.46,437.16,437.16,2359400
LIN,2026-01-07,436.91,439.02,432.89,434.14,434.14,2322200
LIN,2026-01-08,433.44,442.43,432.41,439.69,439.69,2801600
LIN,2026-01-09,437.82,445.05,437.17,444.08,444.08,1787900
LIN,2026-01-12,442.38,445.98,439.39,443.63,443.63,2284900
LIN,2026-01-13,443.97,444.67,440.09,442.9,442.9,1790300
LIN,2026-01-14,441.83,444.36,437.9,439.98,439.98,2542000
LIN,2026-01-15,441.78,444.0,437.74,440.04,440.04,2336600
LIN,2026-01-16,439.46,440.53,435.66,438.96,438.96,3297000
LIN,2026-01-20,434.32,434.91,429.17,433.15,433.15,2958400
LIN,2026-01-21,433.47,440.95,433.03,439.35,439.35,2633300
LIN,2026-01-22,439.85,447.29,439.85,445.64,445.64,2214000
LIN,2026-01-23,443.24,451.98,443.07,451.57,451.57,1639000
LIN,2026-01-26,452.63,455.58,452.15,455.03,455.03,1945500
LIN,2026-01-27,455.03,457.0,452.44,453.03,453.03,1929100
LIN,2026-01-28,452.68,453.49,449.0,451.5,451.5,2281300
LIN,2026-01-29,452.91,456.04,448.16,455.0,455.0,2717200
LIN,2026-01-30,452.63,457.37,451.59,456.97,456.97,2816700
LRCX,2026-01-02,177.85,185.78,177.5,185.06,185.06,11957400
LRCX,2026-01-05,190.12,198.36,190.12,194.76,194.76,16268200
LRCX,2026-01-06,197.79,210.45,197.15,206.96,206.96,18787600
LRCX,2026-01-07,202.58,205.38,199.8,203.08,203.08,15121000
LRCX,2026-01-08,202.87,203.22,195.04,200.96,200.96,13928600
LRCX,2026-01-09,204.66,219.59,202.72,218.36,218.36,16758600
LRCX,2026-01-12,216.12,222.58,215.18,220.4,220.4,10749100
LRCX,2026-01-13,219.42,220.57,213.39,214.38,214.38,12737000
LRCX,2026-01-14,211.13,211.31,206.61,208.79,208.79,18187200
LRCX,2026-01-15,228.15,229.57,217.21,217.47,217.47,15249800
LRCX,2026-01-16,221.9,225.69,219.0,222.96,222.96,14392700
LRCX,2026-01-20,218.21,226.15,217.61,222.41,222.41,11601700
LRCX,2026-01-21,223.05,232.9,220.66,228.39,228.39,12454800
LRCX,2026-01-22,235.56,236.1,219.76,220.7,220.7,11958600
LRCX,2026-01-23,217.87,223.36,213.87,217.94,217.94,10156800
LRCX,2026-01-26,218.98,225.35,215.93,222.87,222.87,10625600
LRCX,2026-01-27,230.63,239.5,228.76,238.46,238.46,12005900
LRCX,2026-01-28,241.27,243.99,237.14,239.58,239.58,15630600
LRCX,2026-01-29,245.61,251.38,236.82,248.17,248.17,16801600
LRCX,2026-01-30,244.26,251.87,232.0,233.46,233.46,18352900
LULU,2026-01-02,209.22,212.08,208.56,210.81,210.81,2415700
LULU,2026-01-05,211.44,216.45,211.07,212.4,212.4,3173100
LULU,2026-01-06,212.4,216.46,209.99,215.88,215.88,3105900
LULU,2026-01-07,215.85,216.75,209.37,211.72,211.72,2343200
LULU,2026-01-08,209.75,217.22,209.46,212.17,212.17,2750600
LULU,2026-01-09,213.0,213.63,200.45,203.9,203.9,5732800
LULU,2026-01-12,203.3,211.42,202.0,209.04,209.04,4200900
LULU,2026-01-13,208.9,214.15,208.37,211.9,211.9,2417000
LULU,2026-01-14,211.33,215.0,202.18,203.14,203.14,2628600
LULU,2026-01-15,203.46,205.84,201.0,205.01,205.01,2422600
LULU,2026-01-16,204.39,205.07,201.5,201.87,201.87,3642300
LULU,2026-01-20,198.41,201.29,188.55,188.76,188.76,4306200
LULU,2026-01-21,188.91,193.29,186.9,189.84,189.84,2523200
LULU,2026-01-22,190.91,196.28,190.87,194.66,194.66,2080600
LULU,2026-01-23,192.71,194.89,191.0,191.07,191.07,1719900
LULU,2026-01-26,191.01,195.74,189.16,192.79,192.79,1885800
LULU,2026-01-27,192.0,192.49,186.18,186.39,186.39,2632300
LULU,2026-01-28,186.52,187.49,179.2,180.35,180.35,2872100
LULU,2026-01-29,179.62,180.0,171.3,172.54,172.54,3543700
LULU,2026-01-30,173.76,175.4,171.25,174.5,174.5,2735200
MAR,2026-01-02,310.55,314.3,309.0,313.41,313.41,1060600
MAR,2026-01-05,311.82,316.32,308.31,311.03,311.03,2174500
MAR,2026-01-06,309.95,322.6,309.6,321.86,321.86,1601100
MAR,2026-01-07,319.74,322.24,317.53,319.26,319.26,1347200
MAR,2026-01-08,317.65,325.71,316.7,324.91,324.91,1265300
MAR,2026-01-09,326.96,331.09,326.53,328.18,328.18,1463800
MAR,2026-01-12,325.15,325.15,319.01,323.35,323.35,1397700
MAR,2026-01-13,322.97,325.47,319.83,322.96,322.96,1233300
MAR,2026-01-14,321.05,322.05,314.75,319.68,319.68,1442000
MAR,2026-01-15,322.36,329.69,322.36,325.79,325.79,2121600
MAR,2026-01-16,326.71,327.75,322.07,325.88,325.88,1903400
MAR,2026-01-20,320.68,321.96,312.67,313.84,313.84,1756000
MAR,2026-01-21,314.83,321.84,312.59,320.56,320.56,1984600
MAR,2026-01-22,322.99,327.2,320.71,321.67,321.67,1575600
MAR,2026-01-23,319.31,320.74,316.69,319.7,319.7,1368300
MAR,2026-01-26,317.59,319.47,313.0,316.7,316.7,1247600
MAR,2026-01-27,315.84,316.35,313.26,313.95,313.95,954000
MAR,2026-01-28,315.08,316.0,311.57,312.07,312.07,1264100
MAR,2026-01-29,312.49,320.75,312.49,319.77,319.77,1698200
MAR,2026-01-30,316.72,318.95,313.25,315.3,315.3,1325100
MCHP,2026-01-02,65.26,65.87,64.15,65.03,65.03,7789800
MCHP,2026-01-05,65.35,68.84,65.3,67.06,67.06,9261200
MCHP,2026-01-06,70.56,75.29,70.56,74.87,74.87,18540100
MCHP,2026-01-07,73.06,74.02,71.89,73.94,73.94,9813500
MCHP,2026-01-08,73.4,73.74,71.7,73.53,73.53,8440400
MCHP,2026-01-09,74.03,76.06,73.51,75.22,75.22,9124300
MCHP,2026-01-12,75.32,75.32,73.21,73.39,73.39,6982500
MCHP,2026-01-13,73.51,75.14,73.41,74.07,74.07,5453700
MCHP,2026-01-14,73.99,75.01,73.51,74.68,74.68,5298500
MCHP,2026-01-15,75.23,76.0,74.41,74.45,74.45,6994200
MCHP,2026-01-16,75.43,75.66,74.33,74.7,74.7,7005300
MCHP,2026-01-20,73.11,74.35,72.28,73.17,73.17,11046300
MCHP,2026-01-21,74.17,76.74,73.77,76.2,76.2,11834300
MCHP,2026-01-22,79.01,79.5,75.16,75.47,75.47,12631100
MCHP,2026-01-23,75.78,75.94,73.41,74.71,74.71,7546300
